,0
2142,Senate will not be in recess next week if government is still closed: McConnell
2143,Letang's OT goal gives Pens wild win over Caps
2144,Kane lifts Blackhawks over Senators in OT
2145,Subban goal breaks tie as Preds top Rangers
2146,"Bruins shake off blowout loss, smash Sabres"
2147,Ducks pull away for opening win over Sharks
2148,NHL roundup: Caps blast Bruins on banner night
2149,Canucks' Pettersson shines in debut win over Flames
2150,"Capitals raise Cup banner, blast Bruins 7-0"
2151,Matthews' OT winner sends Leafs past Habs
2152,Caps F Wilson suspended 20 games for hit
2153,Mueller wants more time with cooperating witness Gates: filing
2154,Trump to meet with Republican lawmakers at the White House: spokeswoman
2155,U.S. House Democratic leaders to cancel planned break amid shutdown
2156,NHL notebook: Committee recommends Seattle expansion
2157,Seattle recommended to receive expansion franchise
2158,Seattle takes another step toward joining NHL
2159,Bruins defenseman Krug out three weeks; Bergeron could play in opener
2160,Blues acquire defenseman Jerabek for draft pick
2161,Hartnell retires from NHL after 17 years
2162,NHL: Devils hope European road trip paves road to success
2163,NHL investigating Flyers' Lehtera after cocaine ring report
2164,Ducks' Perry out five months after knee surgery
2165,Former Leafs forward Lewicki dead at 87
2166,U.S. government shutdown drags into fourth week amid stalemate
2167,Trump's attorney general nominee vows to shield Russia probe from politics
2168,Ivanka Trump to help select candidate to lead World Bank: White House
2169,Blackhawks goaltender Crawford to miss opener
2170,Seattle council strongly backs new arena plans
2171,"Former Sabres, Canadiens captain Gionta retires"
2172,"Byron, Canadiens reach four-year extension"
2173,Red Wings' Green battling virus that attacks liver
2174,Canadiens' Domi suspended rest of pre season for sucker punch
2175,"Sabres sign forward Reinhart for two years, $7.3 million"
2176,Jets' Morrissey ends holdout with two-year deal
2177,NHL notebook: Career over for Detroit's Zetterberg
2178,Ailing back ends Red Wings star Zetterberg's career
2179,U.S. high court rebuffs challenge to Trump appointee Whitaker
2180,U.S. judge partially blocks Trump administration birth control rules
2181,Key Republican to ask FBI about report of Trump counterintelligence probe
2182,"Stars C Seguin signs eight-year, $78.8 million extension"
2183,"Tavares, Marleau, Rielly named Maple Leafs alternate captains"
2184,"Lehner discloses in-game panic attack, bipolar diagnosis"
2185,NHL notebook: Preds' Watson suspended 27 games
2186,Preds F Watson suspended 27 games for domestic assault
2187,"Blue Jackets, Tortorella agree on two-year extension"
2188,NHL notebook: Lightning general manager Yzerman resigns
2189,Lightning general manager Yzerman steps down
2190,Sens' owner says team not leaving Ottawa
2191,Golden Knights acquire Pacioretty from Canadiens
2192,Democrat Gabbard says she will run for U.S. president in 2020
2193,Trump stops short of emergency declaration in border wall fight
2194,Trump says not in a rush to declare emergency in border wall fight
2195,Wild C Staal awaiting contract talks after season begins
2196,NHL notebook: Stars' Seguin anticipates extension
2197,Seattle expansion bid vote likely in December
2198,Blues' Tarasenko (shoulder) close to return
2199,Blue Jackets extend three top officials
2200,Leafs GM will not rush to name captain
2201,"Ex-Blackhawks, Canadiens F McDonald dies at 82"
2202,"NHL notebook: Jets, Wheeler ink five-year extension"
2203,"Vegas' Schmidt suspended, denies PED use"
2204,Brodeur leaves Blues' post as assistant GM
2205,Donations keep Death Valley National Park partly open during shutdown
2206,Trump's attorney general nominee to recuse from AT&T-Time Warner appeal
2207,Tough-on-crime record trails U.S. attorney general nominee into Senate hearings
2208,NHL: Wickenheiser joins Maple Leafs in player development role
2209,NHL-Wickenheiser joins Maple Leafs in player development role
2210,Leafs RFA Nylander says 'no extra pressure' for new deal
2211,Top-pick Tkachuk reportedly elects to sign with Senators
2212,Red Wings re-sign Larkin to five-year deal
2213,Poile among five chosen for U.S. Hockey Hall of Fame
2214,Wild D Suter expects to be ready for training camp
2215,Blackhawks legend Mikita dies at 78
2216,Blues F Tarasenko (shoulder) skates with team
2217,"Ducks G Gibson receives eight-year, $51.2 million extension"
2218,"In Cairo, Pompeo blasts Obama's Middle East policies"
2219,"U.S. House passes bills that would re-open Agriculture, Transportation agencies"
2220,"UAE welcomes Pompeo's speech, says as an important message for friends"
2221,Senators F Stone avoids arbitration with one-year deal
2222,"Hurricanes trade Skinner to Buffalo for prospect, 3 picks"
2223,Flames waive F Brouwer with plan for buyout
2224,"Rangers, Spooner agree to two-year deal"
2225,Wild sign ex-Flyers F Read to two-way contract
2226,"NHL notebook: Rangers, Hayes agree to 1-year deal"
2227,No. 7 overall NHL pick Hughes returning to Michigan
2228,Blackhawks G Crawford hopes to be ready for camp
2229,Stars working on contract extension with C Seguin
2230,"Caps, F Wilson reach six-year, $31 million deal"
2231,Iran's Zarif on Pompeo: U.S. brings chaos where it interferes
2232,Trump: Did not know Manafort shared campaign data with Russian partner
2233,Trump says likely to declare emergency if no deal on border wall
2234,"Penguins, G Jarry agree to two-year deal"
2235,Iginla to retire after 20 NHL seasons
2236,NHL notebook: Orpik rejoins Caps on one-year deal
2237,Winnipeg Jets defenseman Trouba receives $5.5 million in arbitration
2238,"Wild give Dumba five-year, $30 million deal"
2239,"Canucks re-sign D Stecher for two years, $4.65 million"
2240,Golden Knights ink Nosek to one-year deal
2241,"NHL notebook: Coyotes, Blue Jackets swap prospects"
2242,Flames sign goaltender Gillies to two-year deal
2243,"Former Flyers, Senators goaltender Emery dies in swimming accident at 35"
2244,Senate finance chair says no to giving Trump more tariff authority
2245,President Trump will not answer any more questions from Mueller: Giuliani
2246,House Democrats may look into whether shutdown delays IRS tax refunds
2247,NHL notebook: Jets goalie Hellebuyck signs six-year deal
2248,NHL notebook: Habs reportedly looking to trade Pacioretty
2249,NHL notebook: Senators' Burrows announces retirement
2250,NHL notebook: Isles did 'everything' to retain Tavares
2251,NHL notebook: Suitors interested in Senators' Karlsson
2252,"Ovechkin, Stanley Cup traveling to Russia's World Cup match"
2253,Tavares finds homecoming at Maple Leafs
2254,"NHL notebook: Sharks re-sign Thornton, Hertl"
2255,NHL notebook: Sharks lock up Couture on eight-year deal
2256,NHL notebook: Kings' Doughty gets eight-year extension
2257,Trump says Republicans 'totally unified' after talks on border security
2258,"Trump nominates acting EPA head, an ex-coal lobbyist, to run agency"
2259,Trump claims 'unwavering' Republican support for his border stance
2260,Washington Capitals promote Reirden to head coach
2261,NHL notebook: Tavares lining up suitors in free agency
2262,NHL notebook: Sabres draft Swedish D Dahlin with top pick
2263,"NHL releases 2018-19 schedule, including two outdoor games"
2264,"NHL notebook: Blackhawks' Crawford should be ready for season, GM says"
2265,Senators GM says locker room was 'broken' before Hoffman trade
2266,"Ovechkin, Backstrom disappointed to see Trotz leave Caps"
2267,"Caps will open NHL season, raise banner Oct. 3 vs. Bruins"
2268,Report: Nashville Predators' Austin Watson faces domestic assault charge
2269,"NHL notebook: Facing scrutiny, Hoffman traded twice in one day"
2270,Key dates amid U.S. federal government shutdown
2271,Factbox: Impact on U.S. government widens on 18th day of shutdown
2272,Explainer: Trump risks legal fight with emergency threat on wall
2273,Hoffman shipped to San Jose amidst harassment claim
2274,Capitals' Trotz resigns as head coach of Stanley Cup champions
2275,"On heels of unpopular trade, Domi reaches out to Montreal Canadiens fans"
2276,Caps' Orpik: Pinkie 'kinda fell off'
2277,Senators investigating Hoffman's fiancee for alleged harassment
2278,"NHL notebook: Ekman-Larsson, Coyotes agree to extension"
2279,Fleury wants to finish his career with Golden Knights
2280,Tampa Bay Lightning favored to win 2019 Stanley Cup
2281,Capitals beat Golden Knights to win their first Stanley Cup
2282,Thousands of fans celebrate Washington's NHL victory in the streets
2283,Trump unlikely to declare emergency at U.S. southern border: report
2284,Senior Republican congressman opposes using U.S. defense funds for border wall
2285,Trump not planning to invoke emergency powers in Tuesday speech: Washington Post
2286,Caps claim first Cup title with Game 5 comeback
2287,No fairytale ending for Golden Knights' inaugural season
2288,Washington talisman Ovechkin named playoffs MVP
2289,List of Conn Smythe Trophy winners
2290,NHL: List of Stanley Cup champions
2291,Caps' Smith-Pelly would skip White House trip if invited
2292,Vegas Golden Knights' wild pre-game show shakes up league
2293,"New York Islanders fire GM Snow, coach Weight"
2294,Vegas looking to welcome Lady Luck back for Game Five
2295,Capitals move to brink of maiden Stanley Cup triumph
2296,White House says Trump position unchanged as Syria withdrawal plans slow
2297,Politicians cannot block social media foes: U.S. appeals court
2298,Erdogan says U.S. pullout from Syria must be planned carefully: New York Times
2299,"Caps hammer Knights, move one win from capturing Cup"
2300,"Win or lose, Las Vegas plans parade for Golden Knights"
2301,Kuznetsov leads Capitals past Knights for 2-1 series edge
2302,Kuznetsov leads Capitals past Knights for 2-1 series edge
2303,Kuznetsov returns for Capitals in Stanley Cup Final Game 3
2304,"Kuznetsov skates, but Stanley Cup Game 3 status remains in doubt"
2305,Capitals' Ovechkin closes in on elusive Stanley Cup
2306,Ottawa senators assistant GM Lee arrested after incident in Buffalo
2307,Capitals forward Kuznetsov day-to-day after leaving Game 2
2308,Eller holds hot hand as Caps vanquish Golden Knights
2309,"Trump holds firm on border wall, offers steel option as compromise"
2310,Trump says acting Cabinet members give him 'more flexibility'
2311,"No breakthrough in U.S. shutdown talks, Pelosi plans new legislation"
2312,Holtby shines as Caps even series with Golden Knights
2313,Capitals owner Ted Leonsis sends 200 employees to Vegas for Stanley Cup games
2314,Capitals winger Wilson avoids suspension for Marchessault hit
2315,"Ovechkin, Capitals remain '100 percent' confident in Stanley Cup finals"
2316,NHL commissioner: Expansion vote on Seattle likely in fall
2317,Golden Knights rally to top Caps in Stanley Cup Final Game 1
2318,"Knights net three in third, rally to top Caps in Game 1"
2319,Raiders wish Golden Knights luck in Stanley Cup Final with very Raider full-page ad
2320,NHL: Backstrom not at full strength but ready to go for Caps
2321,Las Vegas goes #nocaps before Cup Final
2322,"Washington governor to pardon pot crimes, six years after legalization"
2323,Newly powerful U.S. House Democrats hold off on Trump subpoena flurry
2324,Grand jury extended in U.S. special counsel's Trump-Russia probe
2325,Sundin: Matthews not shoe-in as Leafs' next captain
2326,"Caps blank Lightning, return to finals after 20 years"
2327,"Caps blank Lightning, return to finals after 20 years"
2328,"NHL Notebook: Toronto Maple Leafs, assistant general manager part company"
2329,Islanders officially hire Lamoriello after Maple Leafs stint
2330,"Capitals blank Lightning 3-0, force decisive game seven"
2331,"Caps blank Lightning 3-0, force decisive Game 7"
2332,"NHL: Once kicked to curb, Golden Knights coach heads to Cup final"
2333,"Golden Knights close out Jets, reach Stanley Cup Finals"
2334,Ice hockey: U.S. tops Canada 4-1 for bronze at world championship
2335,Trump says government shutdown meeting was productive
2336,U.S. activists helped migrants in Mexico during border clash
2337,Dance-off: Attempt to shame Ocasio-Cortez with video backfires
2338,"Lightning strike quickly in Game 5, take 3-2 lead over Caps"
2339,"Lightning strike quick in Game 5, take 3-2 lead over Caps"
2340,Mikko Rantanen looks to build upon breakout season with Avalanche
2341,Blackhawks' Hossa says he's done playing
2342,Smith leads Knights to verge of Stanley Cup Final
2343,NHL: Vegas Golden Knights reveal the soul of Sin City
2344,Road rules: Lightning even series with Capitals
2345,Road rules: Lightning even series with Capitals
2346,NHL: Golden Knights defend their fortress in win over Jets
2347,Midgame surge lifts Knights to 2-1 lead in West finals
2348,Trump considering former Democratic Senator Webb for defense secretary: NYT
2349,U.S. House elects Democrat Pelosi to be speaker for 2019-2020
2350,Trump advisers would recommend veto of House funding bills: White House
2351,Capitals look to regain momentum in Game 4 vs. Lightning
2352,Lightning avenge home losses with Game 3 win at Washington
2353,Lightning avenge home losses with Game 3 win at Capitals
2354,"As Jets take off, so does Winnipeg"
2355,NHL: Fleury finds his ruthless streak to slow down Jets
2356,Golden Knights' Tatar may return to lineup
2357,Capitals defenseman Michal Kempny fined for cross-checking
2358,Golden Knights' Marchessault making himself at home in Vegas
2359,Marchessault scores twice as Knights even West finals
2360,Hockey Hall of Famer Clare Drake dies at 89
2361,"Senate confirms two FCC commissioners, science adviser"
2362,Republicans spurn North Carolina board investigating election fraud
2363,No progress toward ending U.S. shutdown in Trump meeting with lawmakers
2364,"Capitals cruise, head home up 2-0 on Lightning"
2365,"Lightning lament passive start, plan to attack at Washington"
2366,"Capitals cruise, head home up 2-0 on Lightning"
2367,No more mister nice guy as Fleury looks to Game Two
2368,Byfuglien spectrum' propels Jets to Game One win
2369,"With win over Knights, Jets no longer the 'gum on Canada's shoe'"
2370,Three-goal first leads Jets past Golden Knights in Game 1
2371,Three-goal first leads Jets past Golden Knights in Game 1
2372,"Predators C Fisher retires from NHL, for good this time"
2373,Capitals prepared to seek 2-0 lead without Backstrom
2374,"As Mattis exits, he tells U.S. military to keep 'faith in our country'"
2375,"Democrats maneuver to end shutdown, without Trump wall money"
2376,Pompeo says cooperation with Israel over Syria and Iran to continue
2377,"Jets, Golden Knights ride hot goalies into Western finals"
2378,Surging Capitals cruise past Lightning in Game 1
2379,Surging Capitals cruise past Lightning in Game 1
2380,'The Peg' and Vegas all in for place in Stanley Cup
2381,Maple Leafs promote Dubas to GM
2382,NHL - High-flying Winnipeg Jets ready to roll the dice against Vegas
2383,"Jets overpower Predators, reach 1st conference finals"
2384,Bruins' Marchand remorseful toward playoff antics
2385,Caps' Backstrom (hand) still day-to-day
2386,"Predators shut out Jets, force Game 7"
2387,Iraq hints at bigger role in Syria after U.S. withdrawal
2388,Graham says Trump committed to smart Syria withdrawal
2389,North Carolina seat in U.S. Congress likely to stay vacant as fraud controversy intensifies
2390,Caps' Backstrom (hand) still day-to-day
2391,"Predators shut out Jets, force Game 7"
2392,"Caps end Penguins' hex, win series in OT"
2393,"Knights shut out Sharks, advance to West finals"
2394,"Lightning knock out Bruins, advance to conference finals"
2395,Jets move within one win of first conference final
2396,Caps rally past Penguins for 3-2 series edge
2397,Golden Knights top Sharks to grab 3-2 series lead
2398,Girardi's OT tally leads Lightning past Bruins for 3-1 lead
2399,Guentzel pulls Penguins even with Caps
2400,How partial shutdown of U.S. government could play out
2401,"On shutdown, Trump vows to wait as long as it takes for wall funding"
2402,Iraqi lawmakers criticize Trump visit as blow to Iraqi sovereignty
2403,Capitals' forward Wilson gets three-game suspension for hit
2404,Palat's pair push Lightning past Bruins
2405,NHL to return to China with two exhibition games
2406,Ovechkin's late winner lifts Caps past Penguins
2407,Jets grab series lead with 7-4 win over Predators
2408,Karlsson's OT winner gives Knights 2-1 series edge
2409,"Point, Lightning hold off Bruins to even series"
2410,Predators even series with 2OT win over Jets
2411,"Ovechkin scores, leads Caps over Pens to tie series"
2412,"Sabres win NHL draft lottery, to get top pick"
2413,North Carolina affidavits released in alleged election fraud case
2414,Trump takes parting shot at Mattis and his view of U.S. allies
2415,"Trump, annoyed by resignation letter, pushes out Mattis early"
2416,Sharks' Couture beats Golden Knights in 2OT
2417,Bruins hammer Lightning in series opener
2418,Hellebuyck makes 47 saves as Jets beat Predators
2419,Bruins pull away for Game 7 win over Leafs
2420,Emotional Leafs force Game 7 with Bruins
2421,Capitals eliminate Blue Jackets with Game 6 win
2422,Jets get back down to business in hunt for Stanley Cup
2423,Predators close out Avalanche with 5-0 rout
2424,Guentzel nets four as Penguins oust Flyers
2425,"Leafs chase Bruins' Rask, hold on to force Game 6"
2426,Trump cancels plans to travel to Florida for Christmas: spokeswoman
2427,U.S. Senate session ends with no deal to end government shutdown
2428,"White House expects $5 billion allocated for border security and barriers, official says"
2429,Guentzel nets four as Penguins oust Flyers
2430,"Leafs chase Bruins' Rask, hold on to force Game 6"
2431,Capitals take series lead on Backstrom's overtime goal
2432,Lightning beat Devils to reach second round
2433,Avs stun Predators late to stave off elimination
2434,Jets win first playoff series with Game 5 shutout of Wild
2435,Flyers beat Penguins 4-2 to stay alive
2436,"Kuznetsov, Caps pull even with Blue Jackets"
2437,Bruins dump Leafs for 3-1 series edge
2438,"Sharks sweep Ducks, earn date with Knights"
2439,U.S. government appears headed toward partial shutdown; negotiations continue
2440,"Russia, China, Iran sought to influence U.S. 2018 elections: U.S. spy chief"
2441,Trump fundraiser Broidy hit with another setback in Qatar lawsuit
2442,Predators hold off Avalanche to grab 3-1 series lead
2443,Crosby passes Lemieux in playoff points as Pens blank Flyers
2444,"Vasilevskiy, Lightning hold off Devils for 3-1 series lead"
2445,Fleury leads Knights to historic sweep of Kings
2446,Capitals' 2OT win cuts into Jackets' series lead
2447,"Hellebuyck, Jets stifle Wild to go up 3-1"
2448,NHL: Capitals' Ovechkin guarantees playoff comeback
2449,"Sharks demolish Ducks, close in on sweep"
2450,"MacKinnon, Avs cut into Predators' series lead"
2451,Devils rally to win Game 3 over Lightning
2452,U.S. House passes funds for Trump wall; government shutdown looms
2453,Acting U.S. attorney general disregards advice on Russia probe recusal
2454,Trump to name currency comptroller Otting as acting director of the FHFA
2455,Blue Jackets beat Caps in OT to claim 2-0 series lead
2456,Greenway's first goal helps Wild wallop Jets
2457,"Crosby's goal, three assists carry Penguins to series lead"
2458,Sharks head home with two-game lead on Ducks
2459,Bruins cruise past Maple Leafs for 2-0 series lead
2460,Predators slide by Avs to take 2-0 series lead
2461,Lightning drop Devils with big second period
2462,Haula lifts Golden Knights over Kings in 2OT
2463,Jets dominate Wild to take 2-0 series lead
2464,Flyers even series with 5-1 win over Penguins
2465,"Spurned by Congress, Trump administration seeks food stamp curbs via rule change"
2466,House moves to debate of funding bill with border wall money
2467,"Mattis, in resignation letter, lays bare divide with Trump"
2468,Kane scores twice in playoff debut to lift Sharks over Ducks
2469,Forsberg's late goals lead Preds past Avs in Game 1
2470,Panarin scores in OT to lift Blue Jackets past Capitals
2471,"Palat, Lightning down Devils for 1-0 series lead"
2472,"Bruins blow past Maple Leafs, grab 1-0 series lead"
2473,"Fleury, Vegas shut out Los Angeles in playoff opener"
2474,Jets top Wild 3-2 to open postseason
2475,"Crosby nets hat trick as Penguins pummel Flyers, 7-0"
2476,Panthers spoil Bruins' division-title hopes
2477,Jankowski's 4 goals lead Flames past Vegas
2478,Democrats to hold 12 debates during 2020 U.S. presidential campaign
2479,House Republican leaders: Trump will not sign funding bill from Senate
2480,Memo by Trump's attorney general pick raises alarms on Russia probe's future
2481,Rangers fire head coach Vigneault after missing playoffs
2482,Benn's natural hat trick leads Stars past Kings
2483,Canucks lose to Oilers in SO in Sedins' final game
2484,Hellebuyck sparkles in net as Jets beat Blackhawks
2485,Zucker scores twice as Wild double up Sharks
2486,"Miller, Ducks shut out Coyotes, 3-0"
2487,Avs blow past Blues to clinch final playoff spot in West
2488,Three-goal first leads Panthers past Sabres
2489,Forsberg registers hat trick as Preds claim Presidents' Trophy
2490,"Tavares lifts Islanders over Red Wings in OT, 4-3"
2491,Trump says will not sign any legislation without 'perfect border security'
2492,Republican frustrations grow as SEC chair proves frequent ally of Democrats
2493,Congress to push stop-gap funding bill with no border wall money
2494,Ovechkin scores twice as Caps top Devils
2495,Maple Leafs complete season sweep of Canadiens
2496,Lightning fail to clinch Atlantic as Canes win in OT
2497,"Bruins top Senators 5-2, still in hunt for East's top seed"
2498,Giroux records hat trick as Flyers blank Rangers
2499,Silfverberg helps Ducks top Stars 5-3
2500,"Blues rip Blackhawks, gear up for showdown with Avs"
2501,Lightning fight off Sabres to win 7-5
2502,Kessel sets career high in points as Penguins blank Senators
2503,"Predators top Caps, clinch Presidents' Trophy"
2504,U.S. lawmakers seek oversight over any Saudi nuclear power deal
2505,Senior House Democrat demands documents from White House
2506,Bipartisan senators call for U.S. 'genocide' label of Myanmar killings
2507,"Sharks dump Avs, close in on 2nd in Pacififc"
2508,Brown scores four as Kings edge Wild in OT
2509,Sedin twins star in final home victory for Vancouver
2510,Edmonton scores three in the third to beat Vegas
2511,Jets win as Hellebuyck tames Flames
2512,"Panthers edge Bruins, keep playoff hopes alive"
2513,Devils clinch playoff berth with win over Leafs
2514,Kessel nets a pair to lift Penguins over Blue Jackets in OT
2515,Canadiens finish season sweep of Red Wings
2516,Voracek lifts Flyers past Hurricanes and closer to playoff spot
2517,"Judge excoriates Trump ex-adviser Flynn, delays Russia probe sentencing"
2518,White House cites 'options' for funding U.S. border wall
2519,Middle-class tax cut not focus of Trump administration efforts: Bloomberg
2520,Islanders complete sweep of Rangers
2521,"Ducks down Wild, clinch playoff berth"
2522,Blues' last-minute loss to Blackhawks sends L.A. to playoffs
2523,"Sabres fall to Ottawa, clinch NHL's worst record"
2524,Stars rally past Sharks behind Benn's hat trick
2525,"Knights blow lead, beat Canucks in shootout"
2526,Raanta big in net as Coyotes beat Flames
2527,"Jackets escape three-goal hole, top Wings in OT"
2528,"Connor, Jets top Canadiens in OT"
2529,"Luongo, Panthers stifle Predators to lift playoff hopes"
2530,Trump asking cabinet to look for funds for border wall: spokeswoman
2531,Arizona Republican McSally will fill McCain's Senate seat
2532,Former Trump adviser Flynn says he knew lying to the FBI was a crime
2533,"Connor, Jets top Canadiens in OT"
2534,"Luongo, Panthers stifle Predators to lift playoff hopes"
2535,Lightning blank Bruins to set single-season points record
2536,Barzal's late tally sends Islanders past Flyers
2537,"Devils dump Rangers, close in on playoff berth"
2538,"Wild shut out Oilers, clinch playoff bid"
2539,Holtby shines as Caps hand playoff-hopeful Blues key loss
2540,"Kings climb into third, hurt Avs' playoff push"
2541,"Jets hold off Senators, 6-5"
2542,"Matthews, Nylander lead Maple Leafs past Sabres"
2543,Flynn's former business partner charged with secret lobbying for Turkey
2544,Trump-backed criminal justice bill heads for votes in Senate
2545,Ex-FBI chief Comey says Trump undermines rule of law with 'lies'
2546,"Panthers edge Hurricanes, stay in playoff hunt"
2547,"Ducks down Avs in OT, leap into 3rd in Pacific"
2548,"Capitals top Penguins, clinch division title"
2549,"Devils edge Habs, inch closer to playoff berth"
2550,"Predators pound Lightning, close in on top record"
2551,Giroux scores game-winner as Flyers down Bruins in OT
2552,Golden Knights edge Sharks to clinch Pacific Division
2553,Dallas staves off elimination with win over Wild
2554,Raanta shines in net as Coyotes shut out Blues
2555,Smith stops 34 shots as Flames edge Oilers to snap skid
2556,Fed draws White House fire as it prepares to raise rates
2557,White House adviser Navarro says no need for Fed rate hike
2558,Judge to examine Whitaker appointment in U.S. asylum policy case
2559,Reinhart's hat trick leads Sabres past Preds in high-scoring affair
2560,Rangers hang on to end Hurricanes' playoff hopes
2561,Jets ride second-period surge past Maple Leafs
2562,Penguins clinch playoff spot with win over Canadiens
2563,Devils tighten grip on playoff berth with win over Islanders
2564,Demko wins NHL debut as Canucks hold off Blue Jackets in OT
2565,DeBrusk stars in return as Bruins trounce Panthers
2566,Howard's 31 saves help Red Wings blank Senators
2567,Marchessault carries Golden Knights over Blues in OT
2568,Rakell scores in OT to lift Ducks past Kings
2569,North Carolina Republican says he hired consultant at heart of fraud probe
2570,"Mueller rebukes Flynn, saying he knew better than to lie to FBI"
2571,Lame-duck Wisconsin governor signs bill undercutting incoming Democrat
2572,Avalanche bounce back to blank Blackhawks
2573,"Lightning end slide, blast Rangers"
2574,Hurricanes top Capitals to keep slim playoff hopes alive
2575,"Matthews lifts Maple Leafs over Islanders, 5-4"
2576,Carter's hat trick carries Kings over Coyotes
2577,Penguins beat Devils on Crosby's OT winner
2578,"Canucks' Pouliot makes history: 5 goals, 5 game-winners"
2579,Dubois hat trick leads Blue Jackets over Flames
2580,Dumba notches four points as Wild top Stars
2581,Debuting goalies guide Blackhawks past Jets
2582,"Trump's chief of staff search centers on Kushner, Christie, Lighthizer: source"
2583,Republican Senator Kyl to resign on Dec. 31: Arizona governor
2584,"For Trump, a year of high drama at home and abroad"
2585,Senators beat Panthers on OT penalty shot
2586,"Predators down Sharks, set franchise points mark"
2587,Bruins leap over Lightning for first in East
2588,Six different Red Wings score in win over Sabres
2589,Coyotes complete impressive double with win at Vegas
2590,Kuznetsov lifts Capitals over Rangers in OT
2591,"Maple Leafs score three in first, hang on to top Panthers"
2592,Flyers edge Avalanche to end two-game skid
2593,Canucks damage Ducks' playoff hopes
2594,Jets edge Bruins in shootout
2595,House Democrats to seek Trump tax returns: Pelosi
2596,Congress passes bill to make members pay sexual misconduct claims
2597,Trump says five people on short list for chief of staff
2598,Vanek's hat trick sparks Jackets' rally past Oilers
2599,Blues' OT victory ends Sharks' 8-game win streak
2600,Ladd's late goal lifts Islanders over Senators
2601,Glendening scores twice as Red Wings surprise Penguins
2602,Devils' comeback win stifles Hurricanes' playoff hopes
2603,"Knights rout Avalanche, clinch playoff berth"
2604,"Kings blank Flames, tie Ducks for 3rd in Pacific"
2605,"Sharks top Hawks in shootout, 4-3"
2606,Foegele tallies in debut to lead Hurricanes over Senators
2607,Murphy's first NHL goal helps Coyotes top Lightning
2608,Senate Democrats introduce bill to allow government to block drug price rises
2609,Bolton frustrated Western Sahara conflict has not been resolved
2610,Trump advised to stay out of matter of Huawei CFO arrest: Wall Street Journal
2611,"Caps score four in the first, top Rangers 4-2"
2612,Sabres end Maple Leafs' home winning streak
2613,Gallagher's two goals lead Canadiens past Red Wings
2614,Reimer shines as Panthers shut out Islanders
2615,"Jets edge Predators, clinch playoff berth"
2616,"Ducks erase deficit, dump Oilers in OT"
2617,"Marchand lifts Bruins over Wild in OT, 2-1"
2618,"Canucks send Stars to eighth straight loss, 4-1"
2619,Penguins beats Flyers in overtime
2620,Vesey scores twice as Rangers beat Sabres
2621,Tabloid says it worked with Trump campaign to pay 2016 hush money: prosecutors
2622,Rep. Goodlatte presses administration to support anti-OPEC legislation
2623,House approves farm bill without tightened food stamps criteria
2624,Penguins beats Flyers in overtime
2625,Vesey scores twice as Rangers beat Sabres
2626,McDavid scores twice as Oilers hand Kings damaging loss
2627,"Zucker, Wild cruise past Preds"
2628,Sharks shred reeling Flames
2629,Kadri's late tally leads Maple Leafs past slumping Red Wings
2630,Four-goal third period leads Panthers past Coyotes
2631,"Wilson, Kuznetsov carry Capitals over Canadiens, 6-4"
2632,"Kane, Blackhawks cruise past Islanders"
2633,"Hurricanes rip Senators, keep faint playoff hopes alive"
2634,Trump says would intervene in arrest of Chinese executive
2635,Highlights: Key quotes from the Reuters interview with Trump
2636,China welcomes any effort to move Huawei case toward resolution
2637,"Tarasenko, Allen help Blues snap Jackets' streak"
2638,"Devils get past Lightning, 2-1"
2639,"Avs outlast Golden Knights in shootout, 2-1"
2640,Bruins stun collapsing Stars 3-2 on last-minute goal
2641,Berglund scores twice as Blues win 4th straight
2642,Jets set franchise point record with OT win over Ducks
2643,"Hall, Devils dump Penguins in OT"
2644,"Niemi, Canadiens shut out Sabres"
2645,Konecny scores twice to lead Flyers past Rangers
2646,Skinner's late goal lifts Hurricanes over Coyotes
2647,Senate to consider resolution condemning Saudi crown prince
2648,Exclusive: Trump says he could intervene in U.S. case against Huawei CFO
2649,Trump taps two nominees for senior financial regulatory posts
2650,"McDavid, Oilers hammer Senators 6-2"
2651,Maple Leafs cool off hot Predators 5-2
2652,"Sharks beats Knights in OT, 2-1"
2653,Kopitar scores 4 goals as Kings rout Avs
2654,"Edler nets a pair as Canucks top Blackhawks, 5-2"
2655,"Capitals blank Red Wings, extend lead in Metropolitan"
2656,Blue Jackets win 10th straight behind Bobrovsky shutout
2657,"Lightning survive Islanders' late surge, win 7-6"
2658,"Penguins push past Canadiens, 5-3"
2659,"Gibson, Ducks shut out Flames"
2660,Trump said he would consider Democrats' proposals: Schumer
2661,Trump administration proposes weakening U.S. waterway protections
2662,Trump administration official defends tear gas use at Mexico border
2663,"Sharks swamp Devils, 6-2"
2664,"Fleury exits, but Knights top Canucks"
2665,Connor scores winner as Jets beat Kings in OT
2666,"Panthers rout Senators, 7-2"
2667,"Avalanche roll Blackhawks, 5-1"
2668,Wings top Flyers in shootout to end 10-game skid
2669,"Draisaitl, Oilers overpower Hurricanes"
2670,Panarin's hat trick sends Blue Jackets to ninth straight win
2671,"Lightning erase three-goal deficit, dump Leafs"
2672,Capitals hand Stars sixth consecutive loss
2673,"U.S. top court, Kavanaugh spurn Planned Parenthood defunding case"
2674,Trump calls hush money payments a 'simple private transaction'
2675,White House to name senior Treasury official as CFTC head
2676,"Lightning erase three-goal deficit, dump Leafs"
2677,Capitals hand Stars sixth consecutive loss
